Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sinnathamby, Mary A; Whitaker, Heather; Coughlan, Laura; Bernal, Jamie Lopez; Ramsay, Mary; Andrews, Nick; ",All-cause excess mortality observed by age group and regions in the first wave of the COVID-19 pandemic in England,Eurosurveillance,25,28,2001239,2020,European Centre for Disease Prevention and Control
"Matz, Melissa; Allemani, Claudia; van Tongeren, Martie; Nafilyan, Vahé; Rhodes, Sarah; van Veldhoven, Karin; Pembrey, Lucy; Coleman, Michel P; Pearce, Neil; ",Excess mortality among essential workers in England and Wales during the COVID-19 pandemic,J Epidemiol Community Health,76,7,660-666,2022,BMJ Publishing Group Ltd
"Paglino, Eugenio; Lundberg, Dielle J; Zhou, Zhenwei; Wasserman, Joe A; Raquib, Rafeya; Luck, Anneliese N; Hempstead, Katherine; Bor, Jacob; Preston, Samuel H; Elo, Irma T; ","Monthly excess mortality across counties in the United States during the COVID-19 pandemic, March 2020 to February 2022",Science Advances,9,25,eadf9742,2023,American Association for the Advancement of Science
"Pasquariello, Paolo; Stranges, Saverio; ",Excess mortality from COVID-19: a commentary on the Italian experience,International journal of public health,65,,529-531,2020,Springer
"Yorifuji, Takashi; Matsumoto, Naomi; Takao, Soshi; ",Excess all-cause mortality during the COVID-19 outbreak in Japan,Journal of epidemiology,31,1,90-92,2021,Japan Epidemiological Association
"Todd, Megan; Pharis, Meagan; Gulino, Sam P; Robbins, Jessica M; Bettigole, Cheryl; ",Excess mortality during the COVID-19 pandemic in Philadelphia,American Journal of Public Health,111,7,1352-1357,2021,American Public Health Association
"Morciano, Marcello; Stokes, Jonathan; Kontopantelis, Evangelos; Hall, Ian; Turner, Alex J; ",Excess mortality for care home residents during the first 23 weeks of the COVID-19 pandemic in England: a national cohort study,BMC medicine,19,,1-11,2021,Springer
"León-Gómez, Inmaculada; Mazagatos, Clara; Delgado-Sanz, Concepción; Frías, Luz; Vega-Piris, Lorena; Rojas-Benedicto, Ayelén; Larrauri, Amparo; ",The impact of COVID-19 on mortality in Spain: Monitoring excess mortality (MoMo) and the surveillance of confirmed COVID-19 deaths,Viruses,13,12,2423,2021,MDPI
"Alicandro, Gianfranco; Remuzzi, Giuseppe; La Vecchia, Carlo; ","Italy's first wave of the COVID-19 pandemic has ended: no excess mortality in May, 2020",The Lancet,396,10253,e27-e28,2020,Elsevier
"Marinković, Ivan; Galjak, Marko; ",Excess mortality in Europe and Serbia during the COVID-19 pandemic in 2020,Stanovnistvo,59,1,61-73,2021,
"Gianicolo, Emilio AL; Russo, Antonello; Büchler, Britta; Taylor, Katherine; Stang, Andreas; Blettner, Maria; ",Gender specific excess mortality in Italy during the COVID-19 pandemic accounting for age,European Journal of Epidemiology,36,2,213-218,2021,Springer
"Mühlichen, Michael; Sauerberg, Markus; Grigoriev, Pavel; ","Evaluating Spatial, Cause-Specific and Seasonal Effects of Excess Mortality Associated with the COVID-19 Pandemic: The Case of Germany, 2020",Journal of Epidemiology and Global Health,,,1-12,2023,Springer
"Warsame, Abdihamid; Bashiir, Farah; Freemantle, Terri; Williams, Chris; Vazquez, Yolanda; Reeve, Chris; Aweis, Ahmed; Ahmed, Mohamed; Checchi, Francesco; Dalmar, Abdirisak; ","Excess mortality during the COVID-19 pandemic: a geospatial and statistical analysis in Mogadishu, Somalia",International journal of infectious diseases,113,,190-199,2021,Elsevier
"Sempé, Lucas; Lloyd-Sherlock, Peter; Martínez, Ramón; Ebrahim, Shah; McKee, Martin; Acosta, Enrique; ",Estimation of all-cause excess mortality by age-specific mortality patterns for countries with incomplete vital statistics: a population-based study of the case of Peru during the first wave of the COVID-19 pandemic,The Lancet Regional Health–Americas,2,,,2021,Elsevier
"Pilkington, Hugo; Feuillet, Thierry; Rican, Stéphane; de Bouillé, Jeanne Goupil; Bouchaud, Olivier; Cailhol, Johann; Bihan, Hélène; Lombrail, Pierre; Julia, Chantal; ",Spatial determinants of excess all-cause mortality during the first wave of the COVID-19 epidemic in France,BMC public health,21,1,1-10,2021,BioMed Central
"Cevallos-Valdiviezo, Holger; Vergara-Montesdeoca, Allan; Zambrano-Zambrano, Gema; ","Measuring the impact of the COVID-19 outbreak in Ecuador using preliminary estimates of excess mortality, March 17–October 22, 2020",International Journal of Infectious Diseases,104,,297-299,2021,Elsevier
"Clarke, Jacob A; Wiemken, Timothy L; Korenblat, Kevin M; ",Excess mortality among solid organ transplant recipients in the United States during the COVID-19 pandemic,Transplantation,106,12,2399,2022,Wolters Kluwer Health
"König, Sebastian; Hohenstein, Sven; Leiner, Johannes; Hindricks, Gerhard; Meier-Hellmann, Andreas; Kuhlen, Ralf; Bollmann, Andreas; ",National mortality data for Germany before and throughout the pandemic: there is an excess mortality exceeding COVID-19-attributed fatalities,Journal of Infection,84,6,834-872,2022,Elsevier
"Chan, Eunice YS; Cheng, Davy; Martin, Janet; ","Impact of COVID-19 on excess mortality, life expectancy, and years of life lost in the United States",PloS one,16,9,e0256835,2021,"Public Library of Science San Francisco, CA USA"
"Barbiellini Amidei, Claudio; Fedeli, Ugo; Gennaro, Nicola; Cestari, Laura; Schievano, Elena; Zorzi, Manuel; Girardi, Paolo; Casotto, Veronica; ",Estimating Overall and Cause-Specific Excess Mortality during the COVID-19 Pandemic: Methodological Approaches Compared,International Journal of Environmental Research and Public Health,20,11,5941,2023,MDPI
"Alfaro, Tania; Martinez-Folgar, Kevin; Vives, Alejandra; Bilal, Usama; ","Excess mortality during the COVID-19 pandemic in cities of Chile: Magnitude, inequalities, and urban determinants",Journal of Urban Health,99,5,922-935,2022,Springer
"Pothisiri, Wiraporn; Prasitsiriphon, Orawan; Apakupakul, Jutarat; Ploddi, Kritchavat; ",Gender differences in estimated excess mortality during the COVID-19 pandemic in Thailand,BMC Public Health,23,1,1900,2023,Springer
"Kirpich, Alexander; Shishkin, Aleksandr; Weppelmann, Thomas A; Tchernov, Alexander Perez; Skums, Pavel; Gankin, Yuriy; ",Excess mortality in Belarus during the COVID-19 pandemic as the case study of a country with limited non-pharmaceutical interventions and limited reporting,Scientific reports,12,1,5475,2022,Nature Publishing Group UK London
"Palacio-Mejía, Lina Sofía; Hernández-Ávila, Juan Eugenio; Hernández-Ávila, Mauricio; Dyer-Leal, Dwight; Barranco, Arturo; Quezada-Sánchez, Amado D; Alvarez-Aceves, Mariana; Cortés-Alcalá, Ricardo; Fernández-Wheatley, Jorge Leonel; Ordoñez-Hernández, Iliana; ",Leading causes of excess mortality in Mexico during the COVID-19 pandemic 2020–2021: A death certificates study in a middle-income country,The Lancet Regional Health–Americas,13,,,2022,Elsevier
"Vestergaard, Lasse S; Nielsen, Jens; Richter, Lukas; Schmid, Daniela; Bustos, Natalia; Braeye, Toon; Denissov, Gleb; Veideman, Tatjana; Luomala, Oskari; Möttönen, Teemu; ","Excess all-cause mortality during the COVID-19 pandemic in Europe–preliminary pooled estimates from the EuroMOMO network, March to April 2020",Eurosurveillance,25,26,2001214,2020,European Centre for Disease Prevention and Control
"Nepomuceno, Marília R; Klimkin, Ilya; Jdanov, Dmitry A; Galarza, Ainhoa Alustiza; Shkolnikov, Vladimir; ","Sensitivity of excess mortality due to the COVID-19 pandemic to the choice of the mortality index, method, reference period, and the time unit of the death series",MedRxiv,,,2021.07. 20.21260869,2021,Cold Spring Harbor Laboratory Press
"Zaki, Bishoy Louis; Nicoli, Francesco; Wayenberg, Ellen; Verschuere, Bram; ",In trust we trust: The impact of trust in government on excess mortality during the COVID-19 pandemic,Public Policy and Administration,37,2,226-252,2022,"SAGE Publications Sage UK: London, England"
"Raihen, Md Nurul; Akter, Sultana; Tabassum, Fariha; Jahan, Farjana; Sardar, Md Nazmul; ",A statistical analysis of positive excess mortality at Covid-19 in 2020-2021,Journal of Mathematics and Statistics Studies,4,3,07-17,2023,
"Leffler, Christopher T; Lykins V, Joseph D; Yang, Edward; ","Preliminary analysis of excess mortality in india during the covid-19 pandemic (update august 4, 2021)",medRxiv,,,2021.08. 04.21261604,2021,Cold Spring Harbor Laboratory Press
"McGrail, Kimberlyn; ","Excess mortality, COVID-19 and health care systems in Canada",Cmaj,194,21,E741-E745,2022,Can Med Assoc
"Kelly, Gabrielle; Petti, Stefano; Noah, Norman; ","Covid-19, non-Covid-19 and excess mortality rates not comparable across countries",Epidemiology & Infection,149,,e176,2021,Cambridge University Press
"Kiang, Mathew V; Carlasare, Lindsey E; Israni, Sonoo Thadaney; Norcini, John J; Zaman, Junaid AB; Bibbins-Domingo, Kirsten; ",Excess Mortality Among US Physicians During the COVID-19 Pandemic,JAMA Internal Medicine,183,4,374-376,2023,American Medical Association
"Endris, Bilal Shikur; Saje, Semira Mitiku; Metaferia, Zelalem Tedla; Sisay, Binyam Girma; Afework, Tsion; Mengistu, Yalemwork Getnet; Fenta, Esete Habtemariam; Gebreyesus, Seifu Hagos; Petros, Adane; Worku, Aschalew; ",Excess mortality in the face of COVID-19: evidence from Addis Ababa mortality surveillance program,,,,,2021,
"Silversmit, Geert; Verdoodt, Freija; Van Damme, Nancy; De Schutter, Harlinde; Van Eycken, Liesbet; ",Excess mortality in a nationwide cohort of cancer patients during the Initial phase of the COVID-19 pandemic in Belgium,"Cancer Epidemiology, Biomarkers & Prevention",30,9,1615-1619,2021,AACR
"Resende, Bruna de Souza; Dias, Rayara Mozer; Ferrari, Gerson; Rezende, Leandro FM; ",Excess mortality in adults from Sao Paulo during the COVID-19 pandemic in 2020: analyses of all-cause and noncommunicable diseases mortality,Scientific Reports,13,1,23006,2023,Nature Publishing Group UK London
"Brandily, Paul; Brébion, Clément; Briole, Simon; Khoury, Laura; ",A poorly understood disease? The unequal distribution of excess mortality due to COVID-19 across French municipalities,MedRxiv,,,2020.07. 09.20149955,2020,Cold Spring Harbor Laboratory Press
"Joy, Mark; Hobbs, FD Richard; McGagh, Dylan; Akinyemi, Oluwafunmi; de Lusignan, Simon; ",Excess mortality from COVID-19 in an English sentinel network population,The Lancet Infectious Diseases,21,4,e74,2021,Elsevier
"García-Guerrero, Víctor M; Beltrán-Sánchez, Hiram; ",Heterogeneity in excess mortality and its impact on loss of life expectancy due to COVID-19: evidence from Mexico,Canadian studies in population,48,2-3,165-200,2021,Springer
"De Geyter, Christian; Masciocchi, Maddalena; Gobrecht-Keller, Ursula; ",Excess mortality caused by the COVID-19 pandemic negatively impacts birth numbers in European countries,Human Reproduction,37,4,822-827,2022,Oxford University Press
"Degeling, Koen; Baxter, Nancy N; Emery, Jon; Jenkins, Mark A; Franchini, Fanny; Gibbs, Peter; Mann, G Bruce; McArthur, Grant; Solomon, Benjamin J; IJzerman, Maarten J; ",An inverse stage‐shift model to estimate the excess mortality and health economic impact of delayed access to cancer services due to the COVID‐19 pandemic,Asia‐Pacific Journal of Clinical Oncology,17,4,359-367,2021,Wiley Online Library
"Keskin, Salih; Ergor, Gul; ",Excess Mortality Resulting from COVID-19 in Turkey during 2020-2021: Regional and Time-Based Analysis,medRxiv,,,2023.05. 04.23289498,2023,Cold Spring Harbor Laboratory Press
"Buja, Alessandra; Paganini, Matteo; Fusinato, Riccardo; Cozzolino, Claudia; Cocchio, Silvia; Scioni, Manuela; Rebba, Vincenzo; Baldo, Vincenzo; Boccuzzo, Giovanna; ",Health and healthcare variables associated with Italy's excess mortality during the first wave of the COVID-19 pandemic: An ecological study,Health Policy,126,4,294-301,2022,Elsevier
"Peretz, Chava; Rotem, Naama; Keinan-Boker, Lital; Furshpan, Avner; Green, Manfred; Bitan, Michal; Steinberg, David M; ",Excess mortality in Israel associated with COVID-19 in 2020–2021 by age group and with estimates based on daily mortality patterns in 2000–2019,International Journal of Epidemiology,51,3,727-736,2022,Oxford University Press
"Carey, Iain M; Cook, Derek G; Harris, Tess; DeWilde, Stephen; Chaudhry, Umar AR; Strachan, David P; ",Risk factors for excess all-cause mortality during the first wave of the COVID-19 pandemic in England: a retrospective cohort study of primary care data,PLoS One,16,12,e0260381,2021,"Public Library of Science San Francisco, CA USA"
"Teixeira, Renato Azeredo; Vasconcelos, Ana Maria Nogales; Torens, Ana; França, Elisabeth Barboza; Ishitani, Lenice; Bierrenbach, Ana Luiza; Abreu, Daisy Maria Xavier de; Marinho, Fátima; ",Excess Mortality due to natural causes among whites and blacks during the COVID-19 pandemic in Brazil,Revista da Sociedade Brasileira de Medicina Tropical,55,,e0283-2021,2022,SciELO Brasil
"Fiorito, Silvana; Soligo, Marzia; Gao, Yadong; Ogulur, Ismail; Akdis, Cezmi A; Bonini, Sergio; ",Is the epithelial barrier hypothesis the key to understanding the higher incidence and excess mortality during COVID‐19 pandemic? The case of Northern Italy,Allergy,77,5,1408-1417,2022,Wiley Online Library
"Anzai, Tatsuhiko; Fukui, Keisuke; Ito, Tsubasa; Ito, Yuri; Takahashi, Kunihiko; ",Excess mortality from suicide during the early COVID-19 pandemic period in Japan: a time-series modeling before the pandemic,Journal of epidemiology,31,2,152-156,2021,Japan Epidemiological Association
"Ceccarelli, Emiliano; Dorrucci, Maria; Minelli, Giada; Jona Lasinio, Giovanna; Prati, Sabrina; Battaglini, Marco; Corsetti, Gianni; Bella, Antonino; Boros, Stefano; Petrone, Daniele; ","Assessing COVID-19-Related Excess Mortality Using Multiple Approaches—Italy, 2020–2021",International Journal of Environmental Research and Public Health,19,24,16998,2022,MDPI
"Basellini, Ugofilippo; Alburez-Gutierrez, Diego; Del Fava, Emanuele; Perrotta, Daniela; Bonetti, Marco; Camarda, Carlo G; Zagheni, Emilio; ",Linking excess mortality to mobility data during the first wave of COVID-19 in England and Wales,SSM-Population Health,14,,100799,2021,Elsevier
"Morfeld, Peter; Timmermann, Barbara; Groß, J Valérie; Lewis, Philip; Cocco, Pierluigi; Erren, Thomas C; ","COVID-19: Heterogeneous excess mortality and “burden of disease” in Germany and Italy and their states and regions, January–June 2020",Frontiers in Public Health,9,,663259,2021,Frontiers Media SA
"Feyman, Yevgeniy; Auty, Samantha G; Tenso, Kertu; Strombotne, Kiersten L; Legler, Aaron; Griffith, Kevin N; ",County-level impact of the COVID-19 pandemic on excess mortality among US veterans: a population-based study,The Lancet Regional Health–Americas,5,,,2022,Elsevier
"Koum Besson, Emilie; Norris, Andy; Bin Ghouth, Abdulla S; Freemantle, Terri; Alhaffar, Mervat; Vazquez, Yolanda; Reeve, Chris; Curran, Patrick J; Checchi, Francesco; ","Excess mortality during the COVID-19 pandemic in Aden governorate, Yemen: A geospatial and statistical analysis",MedRxiv,,,2020.10. 27.20216366,2020,Cold Spring Harbor Laboratory Press
"Cronin, Christopher J; Evans, William N; ","Nursing home quality, COVID-19 deaths, and excess mortality",Journal of Health Economics,82,,102592,2022,Elsevier
"Chen, Yea-Hung; Riley, Alicia R; Duchowny, Kate A; Aschmann, Hélène E; Chen, Ruijia; Kiang, Mathew V; Mooney, Alyssa C; Stokes, Andrew C; Glymour, M Maria; Bibbins-Domingo, Kirsten; ","COVID-19 mortality and excess mortality among working-age residents in California, USA, by occupational sector: a longitudinal cohort analysis of mortality surveillance data",The Lancet Public Health,7,9,e744-e753,2022,Elsevier
"Guimarães, Raphael Mendonça; Oliveira, Mariana Passos Ribeiro Pinto Basílio de; Dutra, Viviane Gomes Parreira; ",Excess mortality according to group of causes in the first year of the COVID-19 pandemic in Brazil,Revista Brasileira de Epidemiologia,25,,,2022,SciELO Brasil
"Adair, Tim; ",Premature cardiovascular disease mortality with overweight and obesity as a risk factor: Estimating excess mortality in the United States during the COVID-19 pandemic,International Journal of Obesity,47,4,273-279,2023,Nature Publishing Group UK London
"Ferreira, Assel Muratovna Shigayeva; ",COVID-19 excess mortality in Paraíba and the most affected counties,,,,,2022,Universidade Federal da Paraíba
"Henry, Nathaniel J; Elagali, Ahmed; Nguyen, Michele; Chipeta, Michael Give; Moore, Catrin E; ","Variation in excess all-cause mortality by age, sex, and province during the first wave of the COVID-19 pandemic in Italy",Scientific reports,12,1,1077,2022,Nature Publishing Group UK London
"Achilleos, Souzana; Quattrocchi, Annalisa; Gabel, John; Heraclides, Alexandros; Kolokotroni, Ourania; Constantinou, Constantina; Pagola Ugarte, Maider; Nicolaou, Nicoletta; Rodriguez-Llanes, Jose Manuel; Bennett, Catherine Marie; ","Excess all-cause mortality and COVID-19-related mortality: a temporal analysis in 22 countries, from January until August 2020",International journal of epidemiology,51,1,35-53,2022,Oxford University Press
"Pikala, M; Burzyńska, M; ",Excess mortality during the coronavirus pandemic (COVID-19) in Poland,European Journal of Public Health,32,Supplement_3,ckac131. 197,2022,Oxford University Press
"Traub, Elizabeth; Amoon, Aryana T; Rollin-Alamillo, Louise; Haddix, Meredith; Poortinga, Kathleen; Ibrahim, Mireille; Feregrino, Gustavo; Foo, Chelsea; Itano, Alison; Lee, Rebecca; ","Excess Mortality Associated With the COVID-19 Pandemic—Los Angeles County, March-September 2020",Journal of Public Health Management and Practice,27,3,233-239,2021,Wolters Kluwer
"Zaki, Bishoy Louis; Nicoli, Francesco; Wayenberg, Ellen; Verschuere, Bram; ",Contagious inequality: economic disparities and excess mortality during the COVID-19 pandemic,Policy and Society,41,2,199-216,2022,Oxford University Press UK
"Fouillet, Anne; Pontais, Isabelle; Caserio-Schönemann, Céline; ","Excess all-cause mortality during the first wave of the COVID-19 epidemic in France, March to May 2020",Eurosurveillance,25,34,2001485,2020,European Centre for Disease Prevention and Control
"Thomas, Kali S; Zhang, Wenhan; Dosa, David M; Carder, Paula; Sloane, Philip; Zimmerman, Sheryl; ",Estimation of excess mortality rates among US assisted living residents during the COVID-19 pandemic,JAMA Network Open,4,6,e2113411-e2113411,2021,American Medical Association
"Wijaya, Madona Yunita; ","The estimation of excess mortality during the COVID-19 pandemic in Jakarta, Indonesia",Kesmas: Jurnal Kesehatan Masyarakat Nasional (National Public Health Journal),17,1,,2022,
"Boukebous, Baptiste; Maillot, Cédric; Neouze, Angèle; Esnault, Hélène; Gao, Fei; Biau, David; Rousseau, Marc-Antoine; ","Excess mortality after hip fracture during COVID-19 pandemic: More about disruption, less about virulence—Lesson from a trauma center",PLoS One,17,2,e0263680,2022,"Public Library of Science San Francisco, CA USA"
"Lewnard, Joseph A; Kang, Gagandeep; Laxminarayan, Ramanan; ",Attributed causes of excess mortality during the COVID-19 pandemic in a south Indian city,Nature Communications,14,1,3563,2023,Nature Publishing Group UK London
"Modi, Chirag; Boehm, Vanessa; Ferraro, Simone; Stein, George; Seljak, Uroš; ",Total covid-19 mortality in italy: Excess mortality and age dependence through time-series analysis,medRxiv,,,2020.04. 15.20067074,2020,Cold Spring Harbor Laboratory Press
"Pellinen, Janne; ",The effect of the COVID-19 pandemic on excess mortality: what role for economic factors?,,,,,2022,
"Verma, Vivek; Nath, Dilip C; Khan, Hafiz TA; ",Evaluation of concordance in estimation of excess mortality due to COVID‐19 pandemic,Journal of Evaluation in Clinical Practice,,,,2023,Wiley Online Library
"Modig, Karin; Lambe, M; Ahlbom, A; Ebeling, Marcus; ",Excess mortality for men and women above age 70 according to level of care during the first wave of COVID-19 pandemic in Sweden: A population-based study,The Lancet Regional Health–Europe,4,,,2021,Elsevier
"Wieland, Thomas; ",Spatial patterns of excess mortality in the first year of the COVID-19 pandemic in Germany,medRxiv,,,2022.03. 10.22272221,2022,Cold Spring Harbor Laboratory Press
"Quast, Troy; Andel, Ross; ",Excess mortality associated with COVID-19 by demographic group: Evidence from Florida and Ohio,Public Health Reports,136,6,782-790,2021,"SAGE Publications Sage CA: Los Angeles, CA"
"Iuliano, A Danielle; Chang, Howard H; Patel, Neha N; Threlkel, Ryan; Kniss, Krista; Reich, Jeremy; Steele, Molly; Hall, Aron J; Fry, Alicia M; Reed, Carrie; ","Estimating under-recognized COVID-19 deaths, United States, march 2020-may 2021 using an excess mortality modelling approach",The Lancet Regional Health–Americas,1,,,2021,Elsevier
"Freitas, André Ricardo Ribas; de Medeiros, Nicole Montenegro; Frutuoso, Livia Carla Vinhal; Beckedorff, Otto Albuquerque; de Martin, Lucas Mariscal Alves; de Medeiros Coelho, Marcela Montenegro; de Freitas, Giovanna Gimenez Souza; Lemos, Daniele Rocha Queiróz; Cavalcanti, Luciano Pamplona de Góes; ",Use of excess mortality associated with the COVID-19 epidemic as an epidemiological surveillance strategy-preliminary results of the evaluation of six Brazilian capitals,medRxiv,,,2020.05. 08.20093617,2020,Cold Spring Harbor Laboratory Press
"Sowers, Cameron; ","EXCESS MORTALITY DURING THE COVID-19 PANDEMIC BY AGE, RACE, SEX, AND CAUSE OF DEATH",,,,,2022,"California State Polytechnic University, Pomona"
"Alicandro, Gianfranco; Remuzzi, Giuseppe; Centanni, Stefano; Gerli, Alberto; La Vecchia, Carlo; ",No excess mortality among working-age Italians during the Omicron wave of Covid-19,La Medicina del lavoro,113,3,,2022,Mattioli 1885
"Cusack, Denis A; ",COVID-19 pandemic: Coroner's database of death inquiries with clinical epidemiology and total and excess mortality analyses in the District of Kildare March to June 2020,Journal of Forensic and Legal Medicine,76,,102072,2020,Elsevier
"Walkowiak, MP; Domaradzki, J; Walkowiak, D; ",Unmasking the COVID-19 pandemic prevention gains: excess mortality reversal in 2022,Public Health,223,,193-201,2023,Elsevier
"Toulkeridis, Theofilos; Ortiz-Prado, Esteban; Chunga-Moran, Jamileth; Heredia-R, Marco; Debut, Alexis; ",Excess Mortality Data Analysis of COVID-19 Infections and Fatalities in Ecuador,Uniciencia,36,1,280-289,2022,https://creativecommons. org/licenses/by-nc-nd/3.0/deed. es
"Marinho, Maria Fatima; Torrens, Ana; Teixeira, Renato; Brant, Luisa Campos Caldeira; Malta, Deborah Carvalho; Nascimento, Bruno Ramos; Ribeiro, Antonio Luiz Pinho; Delaney, Richard; de Paula, Pedro do Carmo Baumgratz; Setel, Philip; ",Racial disparity in excess mortality in Brazil during COVID-19 times,European Journal of Public Health,32,1,24-26,2022,Oxford University Press
"Sugie, Naomi F; Turney, Kristin; Reiter, Keramet; Tublitz, Rebecca; Kaiser, Daniela; Goodsell, Rebecca; Secrist, Erin; Patil, Ankita; Jiménez, Monik; ",Excess mortality in US prisons during the COVID-19 pandemic,Science Advances,9,48,eadj8104,2023,American Association for the Advancement of Science
"Spanakis, Elias K; Yoo, Ashley; Ajayi, Oluwagbemiga N; Siddiqui, Tariq; Khan, Mohd M; Seliger, Stephen L; Klonoff, David C; Feng, Zhaoyong; Sorkin, John D; ",Excess mortality in COVID-19-positive versus COVID-19-negative inpatients with diabetes: a nationwide study,Diabetes Care,44,9,e169,2021,American Diabetes Association
"Maruotti, Antonello; Jona-Lasinio, Giovanna; Divino, Fabio; Lovison, Gianfranco; Ciccozzi, Massimo; Farcomeni, Alessio; ","Estimating COVID-19-induced excess mortality in Lombardy, Italy",Aging clinical and experimental research,34,2,475-479,2022,Springer
"Konstantinoudis, Garyfallos; Gómez-Rubio, Virgilio; Cameletti, Michela; Pirani, Monica; Baio, Gianluca; Blangiardo, Marta; ",A framework for estimating and visualising excess mortality during the COVID-19 pandemic,ArXiv,,,,2022,ArXiv
"Hanifi, Syed Manzoor Ahmed; Alam, Sayed Saidul; Shuma, Sanjida Siddiqua; Reidpath, Daniel D; ","Insights into excess mortality during the first months of the COVID-19 pandemic from a rural, demographic surveillance site in Bangladesh",Frontiers in Public Health,9,,622379,2021,Frontiers Media SA
"Anand, Abhishek; Sandefur, Justin; Subramanian, Arvind; ",Three new estimates of India’s all-cause excess mortality during the COVID-19 pandemic,,,,,2021,Center for Global Development
"Gedeborg, Rolf; Styrke, Johan; Loeb, Stacy; Garmo, Hans; Stattin, Pär; ",Androgen deprivation therapy and excess mortality in men with prostate cancer during the initial phase of the COVID-19 pandemic,PLoS One,16,10,e0255966,2021,"Public Library of Science San Francisco, CA USA"
"Elyazar, Iqbal RF; Surendra, Henry; Ekawati, Lenny L; Djaafara, Bimandra A; Nurhasim, Ahmad; Arif, Ahmad; Hidayana, Irma; Oktavia, Dwi; Adrian, Verry; Salama, Ngabila; ","Excess mortality during the first ten months of COVID-19 epidemic at Jakarta, Indonesia",International Journal of Infectious Diseases,130,,S38,2023,Elsevier
"Roccetti, Marco; ",Excess mortality and COVID-19 deaths in Italy: A peak comparison study,Mathematical Biosciences and Engineering,20,4,7042-7055,2023,
"Davies, Bethan; Parkes, Brandon L; Bennett, James; Fecht, Daniela; Blangiardo, Marta; Ezzati, Majid; Elliott, Paul; ",Community factors and excess mortality in first wave of the COVID-19 pandemic,medRxiv,,,2020.11. 19.20234849,2020,Cold Spring Harbor Laboratory Press
"Musellim, Benan; Kul, Seval; Ay, Pınar; Küçük, Filiz Çağla Uyanusta; Dağlı, Elif; Itil, Oya; Bayram, Hasan; ",Excess mortality during COVID-19 pandemic in Istanbul,Turkish Thoracic Journal,22,2,137,2021,Turkish Thoracic Society
"Kolk, Martin; Drefahl, Sven; Wallace, Matthew; Andersson, Gunnar; ",Excess mortality and COVID-19 in Sweden in 2020: A demographic account,Vienna Yearbook of Population Research,20,1,1-32,2022,Vienna Institute of Demography (VID) of the Austrian Academy of Sciences in …
"Motairek, Issam; Janus, Scott E; Hajjari, Jamal; Nasir, Khurram; Khan, Safi U; Rajagopalan, Sanjay; Al-Kindi, Sadeer; ",Social Vulnerability and Excess Mortality in the COVID-19 Era,American Journal of Cardiology,172,,172-174,2022,Elsevier
"Ferreira, Assel Muratovna Shigayeva; de Almeida Moura, Lucas; Paes, Neir Antunes; ",Estimation of excess mortality during COVID-19 pandemic based on death registry quality analysis.,Seven Editora,,,,2023,
"Palacio-Mejía, Lina Sofia; Hernandez-Avila, Juan Eugenio; Hernandez-Avila, Mauricio; Dyer Leal, Dwight; Barranco Flores, Arturo; Quezada Sanchez, Amado David; Cortés-Alcalá, Ricardo; Wheatley Fernández, Jorge Leonel; Ordoñez Hernández, Iliana; Vielma Orozco, Edgar; ",Leading Causes of Excess Mortality in Mexico During the COVID-19 Pandemic 2020–February 2021: A Death Certificates Study in a Lower-Middle-Income Country,,,,,2021,
"Antonio-Villa, Neftali Eduardo; Bello-Chavolla, Omar Yaxmehen; Fermín-Martínez, Carlos A; Aburto, José Manuel; Fernández-Chirino, Luisa; Ramírez-García, Daniel; Pisanty-Alatorre, Julio; González-Díaz, Armando; Vargas-Vázquez, Arsenio; Barquera, Simón; ",Socio-demographic inequalities and excess non-COVID-19 mortality during the COVID-19 pandemic: a data-driven analysis of 1 069 174 death certificates in Mexico,International Journal of Epidemiology,51,6,1711-1721,2022,Oxford University Press
"Marinho, Fatima; Torrens, Ana; Teixeira, Renato; França, Elisabeth; Nogales, Ana Marina; Xavier, Daisy; Fujiwara, Thomas; ",Excess mortality in Brazil: detailed description of trends in mortality during the COVID-19 pandemic,"Technical Note. Vital Strategies.(Vital Strategies. https://www. vitalstrategies. org/resources/excess-mortality-in-brazil-a-detailed-description-of-trends-in-mortality-during-the-covid-19-pandemic/, 2020)",,,,2020,
"Jain, Vageesh; Clarke, Jonathan; Beaney, Thomas; ",Democratic governance and excess mortality during the COVID-19 pandemic,medRxiv,,,2021.08. 25.21262614,2021,Cold Spring Harbor Laboratory Press
"Sánchez, Jessica Márquez; REZA, MARCO VILLANUEVA; DIAZ, ARMANDO GONZALEZ; Villa, Neftali Eduardo Antonio; Chirino, Luisa Fernández; Pisanty-Alatorre, Julio; Mancilla-Galindo, Javier; Kammar-García, Ashuin; Vázquez, Arsenio Vargas; Martínez, Carlos Fermín; ",Comprehensive evaluation of the impact of sociodemographic inequalities on adverse outcomes and excess mortality during the COVID-19 pandemic in Mexico City,medrxiv. org/,,,,2021,
"Strongman, Helen; Carreira, Helena; De Stavola, Bianca L; Bhaskaran, Krishnan; Leon, David A; ",Factors associated with excess all-cause mortality in the first wave of the COVID-19 pandemic in the UK: A time series analysis using the Clinical Practice Research Datalink,PLoS Medicine,19,1,e1003870,2022,Public Library of Science
